"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..2004a,"90,814","53,517",,"37,298","27,551","2,231","7,516",,"94,928","53,722",,"41,207","21,594","9,275","10,338",,,,,,,,
..2004b,"92,211","54,140",,"38,070","28,172","2,248","7,650",,"96,386","54,380",,"42,006","22,145","9,360","10,501",,,,,,,,
..2003a,"89,998","53,382",,"36,616","26,772","2,257","7,587",,"94,363","53,434",,"40,929","21,276","9,405","10,248",,,,,,,,
..2003b,"91,234","53,904",,"37,330","27,330","2,272","7,728",,"95,684","54,012",,"41,672","21,771","9,485","10,416",,,,,,,,
..2002,"89,233","52,924",,"36,309","26,686","2,218","7,405",,"93,764","53,118",,"40,646","21,052","9,593","10,001",,,,,,,,
..2001,"88,215","52,903",,"35,312","25,814","2,117","7,381",,"92,989","52,911",,"40,078","20,539","9,723","9,816",,,,,,,,
..2000,"86,443","51,888",,"34,555","25,113","2,196","7,246",,"91,138","52,317",,"38,821","20,184","9,336","9,301",,,,,,,,
..1999,"85,750","51,645",,"34,105","24,827","2,084","7,194",,"90,463","51,979",,"38,485","20,105","9,245","9,135",,,,,,,,
..1998,"85,219","51,299",,"33,920","24,775","2,106","7,038",,"89,489","51,410",,"38,079","19,614","9,351","9,115",,,,,,,,
..1997,"84,540","50,860",,"33,680","24,471","2,264","6,945",,"88,756","50,987",,"37,769","19,139","9,404","9,226",,,,,,,,
..1996,"83,463","50,882",,"32,581","23,894","2,128","6,559",,"88,134","51,388",,"33,745","18,691","9,392","8,662",,,,,,,,
